Ration_A,LOGP_A,nAtom,ATS2dv,ATS3dv,ATS4d,ATS1s,ATS4s,ATS2are,AATS1m,AATS3v,ATSC3c,ATSC5d,ATSC0i,ATSC6i,AATSC6dv,MATS6p,BCUTdv-1l,TIC3,ZMIC4,TSRW10,Ration_B,LOGP_B,nAtom.1,ATS2dv.1,ATS3dv.1,ATS3d.1,ATS4d.1,ATS1s.1,AATS1m.1,AATS3v.1,AATS6i.1,ATSC3c.1,ATSC1dv.1,ATSC5d.1,ATSC0i.1,AATSC6dv.1,MATS6p.1,GATS6dv.1,TIC2.1,TIC3.1,ZMIC4.1,TSRW10.1
90,-1.07519996,24,55,54,80,63.08333206,111.6666641,244.4570007,62.67943192,106.771904,0.23398839,-1.22395837,28.41403961,-2.64078951,-0.26666668,-0.08926696,0.98794174,95.28421021,15.57487488,34.99420547,10,1.03620005,31,217,188,160,137,107,87.4009552,157.2889862,162.3891449,0.13462529,17.61290359,-0.48699272,42.8531456,-0.66576481,0.12956306,1.46533608,129.2155609,140.8251953,19.62028122,46.71500397
80,-1.07519996,24,55,54,80,63.08333206,111.6666641,244.4570007,62.67943192,106.771904,0.23398839,-1.22395837,28.41403961,-2.64078951,-0.26666668,-0.08926696,0.98794174,95.28421021,15.57487488,34.99420547,20,1.03620005,31,217,188,160,137,107,87.4009552,157.2889862,162.3891449,0.13462529,17.61290359,-0.48699272,42.8531456,-0.66576481,0.12956306,1.46533608,129.2155609,140.8251953,19.62028122,46.71500397
70,-1.07519996,24,55,54,80,63.08333206,111.6666641,244.4570007,62.67943192,106.771904,0.23398839,-1.22395837,28.41403961,-2.64078951,-0.26666668,-0.08926696,0.98794174,95.28421021,15.57487488,34.99420547,30,1.03620005,31,217,188,160,137,107,87.4009552,157.2889862,162.3891449,0.13462529,17.61290359,-0.48699272,42.8531456,-0.66576481,0.12956306,1.46533608,129.2155609,140.8251953,19.62028122,46.71500397
60,-1.07519996,24,55,54,80,63.08333206,111.6666641,244.4570007,62.67943192,106.771904,0.23398839,-1.22395837,28.41403961,-2.64078951,-0.26666668,-0.08926696,0.98794174,95.28421021,15.57487488,34.99420547,40,1.03620005,31,217,188,160,137,107,87.4009552,157.2889862,162.3891449,0.13462529,17.61290359,-0.48699272,42.8531456,-0.66576481,0.12956306,1.46533608,129.2155609,140.8251953,19.62028122,46.71500397
50,-1.07519996,24,55,54,80,63.08333206,111.6666641,244.4570007,62.67943192,106.771904,0.23398839,-1.22395837,28.41403961,-2.64078951,-0.26666668,-0.08926696,0.98794174,95.28421021,15.57487488,34.99420547,50,1.03620005,31,217,188,160,137,107,87.4009552,157.2889862,162.3891449,0.13462529,17.61290359,-0.48699272,42.8531456,-0.66576481,0.12956306,1.46533608,129.2155609,140.8251953,19.62028122,46.71500397
40,-1.07519996,24,55,54,80,63.08333206,111.6666641,244.4570007,62.67943192,106.771904,0.23398839,-1.22395837,28.41403961,-2.64078951,-0.26666668,-0.08926696,0.98794174,95.28421021,15.57487488,34.99420547,60,1.03620005,31,217,188,160,137,107,87.4009552,157.2889862,162.3891449,0.13462529,17.61290359,-0.48699272,42.8531456,-0.66576481,0.12956306,1.46533608,129.2155609,140.8251953,19.62028122,46.71500397
