Ration_A,LOGP_A,SpAbs_A,ATS4d,ATS0s,ATS1s,ATS4s,ATS5s,ATS5v,ATS2are,AATS2m,AATS3v,ATSC0d,ATSC6d,ATSC4pe,ATSC7pe,ATSC1i,ATSC6i,MATS6p,Xp-4d,ZMIC4,Kier2,Ration_B,LOGP_B,ATS4d.1,ATS0s.1,ATS1s.1,ATS4s.1,ATS5s.1,ATS5v.1,AATS2m.1,AATS3v.1,ATSC0d.1,ATSC4pe.1,ATSC7pe.1,ATSC6p.1,ATSC1i.1,ATSC6i.1,MATS6p.1,Xp-4d.1,ZMIC4.1,Kier2.1,TSRW10.1
20.0,-1.07519996,10.47213554,80.0,98.77777863,63.08333206,111.66666412,83.33333588,3701.76928711,244.45700073,38.25960159,106.77190399,6.95833349,-1.23958337,-0.41958055,-0.2672604,4.92090511,-2.64078951,-0.08926696,0.94692343,15.57487488,6.125,80.0,1.03620005,137.0,179.33332825,107.0,207.41667175,197.5,7412.12841797,66.56752014,157.28898621,13.74193573,-2.07221198,-0.54504371,1.16529918,2.26168227,6.31255388,0.12956306,2.91353226,19.62028122,8.14404392,46.71500397
30.0,-1.07519996,10.47213554,80.0,98.77777863,63.08333206,111.66666412,83.33333588,3701.76928711,244.45700073,38.25960159,106.77190399,6.95833349,-1.23958337,-0.41958055,-0.2672604,4.92090511,-2.64078951,-0.08926696,0.94692343,15.57487488,6.125,70.0,1.03620005,137.0,179.33332825,107.0,207.41667175,197.5,7412.12841797,66.56752014,157.28898621,13.74193573,-2.07221198,-0.54504371,1.16529918,2.26168227,6.31255388,0.12956306,2.91353226,19.62028122,8.14404392,46.71500397
40.0,-1.07519996,10.47213554,80.0,98.77777863,63.08333206,111.66666412,83.33333588,3701.76928711,244.45700073,38.25960159,106.77190399,6.95833349,-1.23958337,-0.41958055,-0.2672604,4.92090511,-2.64078951,-0.08926696,0.94692343,15.57487488,6.125,60.0,1.03620005,137.0,179.33332825,107.0,207.41667175,197.5,7412.12841797,66.56752014,157.28898621,13.74193573,-2.07221198,-0.54504371,1.16529918,2.26168227,6.31255388,0.12956306,2.91353226,19.62028122,8.14404392,46.71500397
50.0,-1.07519996,10.47213554,80.0,98.77777863,63.08333206,111.66666412,83.33333588,3701.76928711,244.45700073,38.25960159,106.77190399,6.95833349,-1.23958337,-0.41958055,-0.2672604,4.92090511,-2.64078951,-0.08926696,0.94692343,15.57487488,6.125,50.0,1.03620005,137.0,179.33332825,107.0,207.41667175,197.5,7412.12841797,66.56752014,157.28898621,13.74193573,-2.07221198,-0.54504371,1.16529918,2.26168227,6.31255388,0.12956306,2.91353226,19.62028122,8.14404392,46.71500397
60.0,-1.07519996,10.47213554,80.0,98.77777863,63.08333206,111.66666412,83.33333588,3701.76928711,244.45700073,38.25960159,106.77190399,6.95833349,-1.23958337,-0.41958055,-0.2672604,4.92090511,-2.64078951,-0.08926696,0.94692343,15.57487488,6.125,40.0,1.03620005,137.0,179.33332825,107.0,207.41667175,197.5,7412.12841797,66.56752014,157.28898621,13.74193573,-2.07221198,-0.54504371,1.16529918,2.26168227,6.31255388,0.12956306,2.91353226,19.62028122,8.14404392,46.71500397
70.0,-1.07519996,10.47213554,80.0,98.77777863,63.08333206,111.66666412,83.33333588,3701.76928711,244.45700073,38.25960159,106.77190399,6.95833349,-1.23958337,-0.41958055,-0.2672604,4.92090511,-2.64078951,-0.08926696,0.94692343,15.57487488,6.125,30.0,1.03620005,137.0,179.33332825,107.0,207.41667175,197.5,7412.12841797,66.56752014,157.28898621,13.74193573,-2.07221198,-0.54504371,1.16529918,2.26168227,6.31255388,0.12956306,2.91353226,19.62028122,8.14404392,46.71500397
80.0,-1.07519996,10.47213554,80.0,98.77777863,63.08333206,111.66666412,83.33333588,3701.76928711,244.45700073,38.25960159,106.77190399,6.95833349,-1.23958337,-0.41958055,-0.2672604,4.92090511,-2.64078951,-0.08926696,0.94692343,15.57487488,6.125,20.0,1.03620005,137.0,179.33332825,107.0,207.41667175,197.5,7412.12841797,66.56752014,157.28898621,13.74193573,-2.07221198,-0.54504371,1.16529918,2.26168227,6.31255388,0.12956306,2.91353226,19.62028122,8.14404392,46.71500397
90.0,-1.07519996,10.47213554,80.0,98.77777863,63.08333206,111.66666412,83.33333588,3701.76928711,244.45700073,38.25960159,106.77190399,6.95833349,-1.23958337,-0.41958055,-0.2672604,4.92090511,-2.64078951,-0.08926696,0.94692343,15.57487488,6.125,10.0,1.03620005,137.0,179.33332825,107.0,207.41667175,197.5,7412.12841797,66.56752014,157.28898621,13.74193573,-2.07221198,-0.54504371,1.16529918,2.26168227,6.31255388,0.12956306,2.91353226,19.62028122,8.14404392,46.71500397
