Ration_A,LOGP_A,ATS4d,ATS2are,AATS2m,AATS4m,AATS2v,ATSC6dv,ATSC0d,ATSC5d,ATSC1v,ATSC1i,ATSC5i,AATSC1dv,MATS6p,GATS6c,BCUTdv-1l,Xp-4d,ZMIC4,Kier2,MDEC-13,MDEC-23,Ration_B,LOGP_B,ATS4d.1,AATS2m.1,AATS4m.1,AATS2v.1,AATS3v.1,ATSC1dv.1,ATSC6dv.1,ATSC0d.1,ATSC5d.1,ATSC1v.1,ATSC1i.1,AATSC1dv.1,AATSC6dv.1,AATSC6Z.1,MATS6p.1,GATS6c.1,ZMIC4.1,MDEC-13.1,TSRW10.1
90,-1.07519996,80,244.4570007,38.25960159,22.0027771,144.6575165,-8,6.95833349,-1.22395837,22.95468903,4.92090511,-5.03006506,0.30434781,-0.08926696,1.05476248,0.98794174,0.94692343,15.57487488,6.125,0,2.64805961,10,1.03620005,137,66.56752014,40.62282944,201.4863434,157.2889862,17.61290359,-26.63059235,13.74193573,-0.48699272,22.99925804,2.26168227,0.56815815,-0.66576481,-1.11092615,0.12956306,1.34240365,19.62028122,0,46.71500397
80,-1.07519996,80,244.4570007,38.25960159,22.0027771,144.6575165,-8,6.95833349,-1.22395837,22.95468903,4.92090511,-5.03006506,0.30434781,-0.08926696,1.05476248,0.98794174,0.94692343,15.57487488,6.125,0,2.64805961,20,1.03620005,137,66.56752014,40.62282944,201.4863434,157.2889862,17.61290359,-26.63059235,13.74193573,-0.48699272,22.99925804,2.26168227,0.56815815,-0.66576481,-1.11092615,0.12956306,1.34240365,19.62028122,0,46.71500397
70,-1.07519996,80,244.4570007,38.25960159,22.0027771,144.6575165,-8,6.95833349,-1.22395837,22.95468903,4.92090511,-5.03006506,0.30434781,-0.08926696,1.05476248,0.98794174,0.94692343,15.57487488,6.125,0,2.64805961,30,1.03620005,137,66.56752014,40.62282944,201.4863434,157.2889862,17.61290359,-26.63059235,13.74193573,-0.48699272,22.99925804,2.26168227,0.56815815,-0.66576481,-1.11092615,0.12956306,1.34240365,19.62028122,0,46.71500397
60,-1.07519996,80,244.4570007,38.25960159,22.0027771,144.6575165,-8,6.95833349,-1.22395837,22.95468903,4.92090511,-5.03006506,0.30434781,-0.08926696,1.05476248,0.98794174,0.94692343,15.57487488,6.125,0,2.64805961,40,1.03620005,137,66.56752014,40.62282944,201.4863434,157.2889862,17.61290359,-26.63059235,13.74193573,-0.48699272,22.99925804,2.26168227,0.56815815,-0.66576481,-1.11092615,0.12956306,1.34240365,19.62028122,0,46.71500397
50,-1.07519996,80,244.4570007,38.25960159,22.0027771,144.6575165,-8,6.95833349,-1.22395837,22.95468903,4.92090511,-5.03006506,0.30434781,-0.08926696,1.05476248,0.98794174,0.94692343,15.57487488,6.125,0,2.64805961,50,1.03620005,137,66.56752014,40.62282944,201.4863434,157.2889862,17.61290359,-26.63059235,13.74193573,-0.48699272,22.99925804,2.26168227,0.56815815,-0.66576481,-1.11092615,0.12956306,1.34240365,19.62028122,0,46.71500397
40,-1.07519996,80,244.4570007,38.25960159,22.0027771,144.6575165,-8,6.95833349,-1.22395837,22.95468903,4.92090511,-5.03006506,0.30434781,-0.08926696,1.05476248,0.98794174,0.94692343,15.57487488,6.125,0,2.64805961,60,1.03620005,137,66.56752014,40.62282944,201.4863434,157.2889862,17.61290359,-26.63059235,13.74193573,-0.48699272,22.99925804,2.26168227,0.56815815,-0.66576481,-1.11092615,0.12956306,1.34240365,19.62028122,0,46.71500397
