Ration_A,LOGP_A,nAtom,ATS2dv,ATS3dv,ATS4d,ATS1s,ATS4s,ATS2are,AATS1m,AATS3v,ATSC3c,ATSC5d,ATSC0i,ATSC6i,AATSC6dv,MATS6p,BCUTdv-1l,TIC3,ZMIC4,TSRW10,Ration_B,LOGP_B,nAtom.1,ATS2dv.1,ATS3dv.1,ATS3d.1,ATS4d.1,ATS1s.1,AATS1m.1,AATS3v.1,AATS6i.1,ATSC3c.1,ATSC1dv.1,ATSC5d.1,ATSC0i.1,AATSC6dv.1,MATS6p.1,GATS6dv.1,TIC2.1,TIC3.1,ZMIC4.1,TSRW10.1
0,-1.27390003,30,428,329,70,117.9722214,131.8333283,352.2529907,96.80297089,126.6863327,1.06828117,-4.55999994,87.20063019,-9.6330328,1.90141416,-0.18925574,0,116.1871643,29.35023689,46.49055481,10,1.98570001,26,107,64,99,85,66.1388855,65.43160248,119.2071304,165.0806274,0.10518987,32.9940834,-2.87573957,30.3354187,-0.42357001,-0.08915582,0.85271776,81.68210602,93.94676971,18.71290779,37.3264122
12,-1.27390003,30,428,329,70,117.9722214,131.8333283,352.2529907,96.80297089,126.6863327,1.06828117,-4.55999994,87.20063019,-9.6330328,1.90141416,-0.18925574,0,116.1871643,29.35023689,46.49055481,88,1.98570001,26,107,64,99,85,66.1388855,65.43160248,119.2071304,165.0806274,0.10518987,32.9940834,-2.87573957,30.3354187,-0.42357001,-0.08915582,0.85271776,81.68210602,93.94676971,18.71290779,37.3264122
28,-1.27390003,30,428,329,70,117.9722214,131.8333283,352.2529907,96.80297089,126.6863327,1.06828117,-4.55999994,87.20063019,-9.6330328,1.90141416,-0.18925574,0,116.1871643,29.35023689,46.49055481,72,1.98570001,26,107,64,99,85,66.1388855,65.43160248,119.2071304,165.0806274,0.10518987,32.9940834,-2.87573957,30.3354187,-0.42357001,-0.08915582,0.85271776,81.68210602,93.94676971,18.71290779,37.3264122
47,-1.27390003,30,428,329,70,117.9722214,131.8333283,352.2529907,96.80297089,126.6863327,1.06828117,-4.55999994,87.20063019,-9.6330328,1.90141416,-0.18925574,0,116.1871643,29.35023689,46.49055481,63,1.98570001,26,107,64,99,85,66.1388855,65.43160248,119.2071304,165.0806274,0.10518987,32.9940834,-2.87573957,30.3354187,-0.42357001,-0.08915582,0.85271776,81.68210602,93.94676971,18.71290779,37.3264122
62,-1.27390003,30,428,329,70,117.9722214,131.8333283,352.2529907,96.80297089,126.6863327,1.06828117,-4.55999994,87.20063019,-9.6330328,1.90141416,-0.18925574,0,116.1871643,29.35023689,46.49055481,38,1.98570001,26,107,64,99,85,66.1388855,65.43160248,119.2071304,165.0806274,0.10518987,32.9940834,-2.87573957,30.3354187,-0.42357001,-0.08915582,0.85271776,81.68210602,93.94676971,18.71290779,37.3264122
