smiles,pred_0,value_0
"{[>]CC(C(NCC[NH3+])=O)C.[Cl-].[+rn=00],CC(C)C(NCCCC)=O[<].[+rn=100]}",6.977081971,197.0029046
"{[>]CC(C(NCC[NH3+])=O)C.[Cl-].[+rn=20],CC(C)C(NCCCC)=O[<].[+rn=80]}",6.710293825,163.7795047
"{[>]CC(C(NCC[NH3+])=O)C.[Cl-].[+rn=36],CC(C)C(NCCCC)=O[<].[+rn=64]}",6.390257629,131.2311118
"{[>]CC(C(NCC[NH3+])=O)C.[Cl-].[+rn=54],CC(C)C(NCCCC)=O[<].[+rn=46]}",5.900214361,93.47584179
"{[>]CC(C(NCC[NH3+])=O)C.[Cl-].[+rn=78],CC(C)C(NCCCC)=O[<].[+rn=22]}",5.522427718,71.96366458
"{[>]CC(C(NCC[NH3+])=O)C.[Cl-].[+rn=18],CC(C)C(NCCCCCC)=O[<].[+rn=82]}",3.870928957,22.9387757
"{[>]CC(C(NCC[NH3+])=O)C.[Cl-].[+rn=33],CC(C)C(NCCCCCC)=O[<].[+rn=67]}",3.715385858,20.59701687
"{[>]CC(C(NCC[NH3+])=O)C.[Cl-].[+rn=51],CC(C)C(NCCCCCC)=O[<].[+rn=49]}",3.325682493,15.72661679
"{[>]CC(C(NCC[NH3+])=O)C.[Cl-].[+rn=63],CC(C)C(NCCCCCC)=O[<].[+rn=37]}",3.178351162,14.2016355
,,
4.045951804,,
0.382336769,,
