Ration_A,LOGP_A,nAtom,ATS2dv,ATS3dv,ATS4d,ATS1s,ATS4s,ATS2are,AATS1m,AATS3v,ATSC3c,ATSC5d,ATSC0i,ATSC6i,AATSC6dv,MATS6p,BCUTdv-1l,TIC3,ZMIC4,TSRW10,Ration_B,LOGP_B,nAtom.1,ATS2dv.1,ATS3dv.1,ATS3d.1,ATS4d.1,ATS1s.1,AATS1m.1,AATS3v.1,AATS6i.1,ATSC3c.1,ATSC1dv.1,ATSC5d.1,ATSC0i.1,AATSC6dv.1,MATS6p.1,GATS6dv.1,TIC2.1,TIC3.1,ZMIC4.1,TSRW10.1
0,-3.99550009,25,81,50,76,0,0,246.776001,63.63430023,114.9792023,0.39758649,-3.13919997,28.42905426,-12.21623135,-0.39634389,-0.13098516,0,89.83174133,20.80417061,36.85215759,100,1.55869997,27,85,56,107,92,65.47222137,61.61758804,116.7041626,166.6065521,0.0525393,24.99862862,-2.0164609,32.94231796,-0.34430727,-0.04604986,1.00055313,87.85263824,100.1173019,18.29006004,37.3264122
20,-3.99550009,25,81,50,76,0,0,246.776001,63.63430023,114.9792023,0.39758649,-3.13919997,28.42905426,-12.21623135,-0.39634389,-0.13098516,0,89.83174133,20.80417061,36.85215759,80,1.55869997,27,85,56,107,92,65.47222137,61.61758804,116.7041626,166.6065521,0.0525393,24.99862862,-2.0164609,32.94231796,-0.34430727,-0.04604986,1.00055313,87.85263824,100.1173019,18.29006004,37.3264122
36,-3.99550009,25,81,50,76,0,0,246.776001,63.63430023,114.9792023,0.39758649,-3.13919997,28.42905426,-12.21623135,-0.39634389,-0.13098516,0,89.83174133,20.80417061,36.85215759,64,1.55869997,27,85,56,107,92,65.47222137,61.61758804,116.7041626,166.6065521,0.0525393,24.99862862,-2.0164609,32.94231796,-0.34430727,-0.04604986,1.00055313,87.85263824,100.1173019,18.29006004,37.3264122
54,-3.99550009,25,81,50,76,0,0,246.776001,63.63430023,114.9792023,0.39758649,-3.13919997,28.42905426,-12.21623135,-0.39634389,-0.13098516,0,89.83174133,20.80417061,36.85215759,46,1.55869997,27,85,56,107,92,65.47222137,61.61758804,116.7041626,166.6065521,0.0525393,24.99862862,-2.0164609,32.94231796,-0.34430727,-0.04604986,1.00055313,87.85263824,100.1173019,18.29006004,37.3264122
78,-3.99550009,25,81,50,76,0,0,246.776001,63.63430023,114.9792023,0.39758649,-3.13919997,28.42905426,-12.21623135,-0.39634389,-0.13098516,0,89.83174133,20.80417061,36.85215759,22,1.55869997,27,85,56,107,92,65.47222137,61.61758804,116.7041626,166.6065521,0.0525393,24.99862862,-2.0164609,32.94231796,-0.34430727,-0.04604986,1.00055313,87.85263824,100.1173019,18.29006004,37.3264122
18,-3.99550009,25,81,50,76,0,0,246.776001,63.63430023,114.9792023,0.39758649,-3.13919997,28.42905426,-12.21623135,-0.39634389,-0.13098516,0,89.83174133,20.80417061,36.85215759,82,2.33890009,33,93,64,139,124,75.97222137,60.59418488,115.6019058,168.6537323,0.05152228,24.99173546,-0.70247936,40.30457306,-0.04436712,-0.00507365,0.91087717,107.9356842,130.2003479,18.95495033,40.15626907
33,-3.99550009,25,81,50,76,0,0,246.776001,63.63430023,114.9792023,0.39758649,-3.13919997,28.42905426,-12.21623135,-0.39634389,-0.13098516,0,89.83174133,20.80417061,36.85215759,67,2.33890009,33,93,64,139,124,75.97222137,60.59418488,115.6019058,168.6537323,0.05152228,24.99173546,-0.70247936,40.30457306,-0.04436712,-0.00507365,0.91087717,107.9356842,130.2003479,18.95495033,40.15626907
51,-3.99550009,25,81,50,76,0,0,246.776001,63.63430023,114.9792023,0.39758649,-3.13919997,28.42905426,-12.21623135,-0.39634389,-0.13098516,0,89.83174133,20.80417061,36.85215759,49,2.33890009,33,93,64,139,124,75.97222137,60.59418488,115.6019058,168.6537323,0.05152228,24.99173546,-0.70247936,40.30457306,-0.04436712,-0.00507365,0.91087717,107.9356842,130.2003479,18.95495033,40.15626907
63,-3.99550009,25,81,50,76,0,0,246.776001,63.63430023,114.9792023,0.39758649,-3.13919997,28.42905426,-12.21623135,-0.39634389,-0.13098516,0,89.83174133,20.80417061,36.85215759,37,2.33890009,33,93,64,139,124,75.97222137,60.59418488,115.6019058,168.6537323,0.05152228,24.99173546,-0.70247936,40.30457306,-0.04436712,-0.00507365,0.91087717,107.9356842,130.2003479,18.95495033,40.15626907
