smiles,property
"{[>]CC(C(NCC[NH3+])=O)C.[Cl-].[+rn=00],CC(C)C(NCCCC)=O[<].[+rn=100]}",9.323661209
"{[>]CC(C(NCC[NH3+])=O)C.[Cl-].[+rn=20],CC(C)C(NCCCC)=O[<].[+rn=80]}",9.323661209
"{[>]CC(C(NCC[NH3+])=O)C.[Cl-].[+rn=36],CC(C)C(NCCCC)=O[<].[+rn=64]}",9.323661209
"{[>]CC(C(NCC[NH3+])=O)C.[Cl-].[+rn=54],CC(C)C(NCCCC)=O[<].[+rn=46]}",9.323661209
"{[>]CC(C(NCC[NH3+])=O)C.[Cl-].[+rn=78],CC(C)C(NCCCC)=O[<].[+rn=22]}",9.323661209
"{[>]CC(C(NCC[NH3+])=O)C.[Cl-].[+rn=18],CC(C)C(NCCCCCC)=O[<].[+rn=82]}",7.584570057
"{[>]CC(C(NCC[NH3+])=O)C.[Cl-].[+rn=33],CC(C)C(NCCCCCC)=O[<].[+rn=67]}",2.993996851
"{[>]CC(C(NCC[NH3+])=O)C.[Cl-].[+rn=51],CC(C)C(NCCCCCC)=O[<].[+rn=49]}",-3.30140992
"{[>]CC(C(NCC[NH3+])=O)C.[Cl-].[+rn=63],CC(C)C(NCCCCCC)=O[<].[+rn=37]}",-3.30140992
