smiles,property
"{[>]CC(C(NCC[NH3+])=O)C.[+rn=00],CC(C)C(NCCCC)=O[<].[+rn=100]}",1.600682346
"{[>]CC(C(NCC[NH3+])=O)C.[+rn=20],CC(C)C(NCCCC)=O[<].[+rn=80]}",5.476432937
"{[>]CC(C(NCC[NH3+])=O)C.[+rn=36],CC(C)C(NCCCC)=O[<].[+rn=64]}",6.216377237
"{[>]CC(C(NCC[NH3+])=O)C.[+rn=54],CC(C)C(NCCCC)=O[<].[+rn=46]}",4.766014511
"{[>]CC(C(NCC[NH3+])=O)C.[+rn=78],CC(C)C(NCCCC)=O[<].[+rn=22]}",3.999542965
"{[>]CC(C(NCC[NH3+])=O)C.[+rn=18],CC(C)C(NCCCCCC)=O[<].[+rn=82]}",4.36736359
"{[>]CC(C(NCC[NH3+])=O)C.[+rn=33],CC(C)C(NCCCCCC)=O[<].[+rn=67]}",1.674773483
"{[>]CC(C(NCC[NH3+])=O)C.[+rn=51],CC(C)C(NCCCCCC)=O[<].[+rn=49]}",-2.066765106
"{[>]CC(C(NCC[NH3+])=O)C.[+rn=63],CC(C)C(NCCCCCC)=O[<].[+rn=37]}",0.673549764
