Ration_A,LOGP_A,ATS4d,ATS2are,AATS2m,AATS4m,AATS2v,ATSC6dv,ATSC0d,ATSC5d,ATSC1v,ATSC1i,ATSC5i,AATSC1dv,MATS6p,GATS6c,BCUTdv-1l,Xp-4d,ZMIC4,Kier2,MDEC-13,MDEC-23,Ration_B,LOGP_B,ATS4d.1,AATS2m.1,AATS4m.1,AATS2v.1,AATS3v.1,ATSC1dv.1,ATSC6dv.1,ATSC0d.1,ATSC5d.1,ATSC1v.1,ATSC1i.1,AATSC1dv.1,AATSC6dv.1,AATSC6Z.1,MATS6p.1,GATS6c.1,ZMIC4.1,MDEC-13.1,TSRW10.1
0,-3.99550009,76,246.776001,42.46697998,24.30082703,141.5316925,-13.07934856,10.56000042,-3.13919997,-139.8750458,-2.85291338,-6.71948624,1.09161401,-0.13098516,0.3854593,0,0.85943276,20.80417061,7.11111116,2.82842708,1.37317812,100,1.55869997,92,40.61091232,23.84513092,146.1651154,116.7041626,24.99862862,-13.42798328,9.62963009,-2.0164609,-120.3817978,-6.17508793,0.96148568,-0.34430727,-0.17146777,-0.04604986,0.51702094,18.29006004,2.70160007,37.3264122
20,-3.99550009,76,246.776001,42.46697998,24.30082703,141.5316925,-13.07934856,10.56000042,-3.13919997,-139.8750458,-2.85291338,-6.71948624,1.09161401,-0.13098516,0.3854593,0,0.85943276,20.80417061,7.11111116,2.82842708,1.37317812,80,1.55869997,92,40.61091232,23.84513092,146.1651154,116.7041626,24.99862862,-13.42798328,9.62963009,-2.0164609,-120.3817978,-6.17508793,0.96148568,-0.34430727,-0.17146777,-0.04604986,0.51702094,18.29006004,2.70160007,37.3264122
36,-3.99550009,76,246.776001,42.46697998,24.30082703,141.5316925,-13.07934856,10.56000042,-3.13919997,-139.8750458,-2.85291338,-6.71948624,1.09161401,-0.13098516,0.3854593,0,0.85943276,20.80417061,7.11111116,2.82842708,1.37317812,64,1.55869997,92,40.61091232,23.84513092,146.1651154,116.7041626,24.99862862,-13.42798328,9.62963009,-2.0164609,-120.3817978,-6.17508793,0.96148568,-0.34430727,-0.17146777,-0.04604986,0.51702094,18.29006004,2.70160007,37.3264122
54,-3.99550009,76,246.776001,42.46697998,24.30082703,141.5316925,-13.07934856,10.56000042,-3.13919997,-139.8750458,-2.85291338,-6.71948624,1.09161401,-0.13098516,0.3854593,0,0.85943276,20.80417061,7.11111116,2.82842708,1.37317812,46,1.55869997,92,40.61091232,23.84513092,146.1651154,116.7041626,24.99862862,-13.42798328,9.62963009,-2.0164609,-120.3817978,-6.17508793,0.96148568,-0.34430727,-0.17146777,-0.04604986,0.51702094,18.29006004,2.70160007,37.3264122
78,-3.99550009,76,246.776001,42.46697998,24.30082703,141.5316925,-13.07934856,10.56000042,-3.13919997,-139.8750458,-2.85291338,-6.71948624,1.09161401,-0.13098516,0.3854593,0,0.85943276,20.80417061,7.11111116,2.82842708,1.37317812,22,1.55869997,92,40.61091232,23.84513092,146.1651154,116.7041626,24.99862862,-13.42798328,9.62963009,-2.0164609,-120.3817978,-6.17508793,0.96148568,-0.34430727,-0.17146777,-0.04604986,0.51702094,18.29006004,2.70160007,37.3264122
18,-3.99550009,76,246.776001,42.46697998,24.30082703,141.5316925,-13.07934856,10.56000042,-3.13919997,-139.8750458,-2.85291338,-6.71948624,1.09161401,-0.13098516,0.3854593,0,0.85943276,20.80417061,7.11111116,2.82842708,1.37317812,82,2.33890009,124,38.94568253,23.36914635,147.383667,115.6019058,24.99173546,-2.52892566,10.969697,-0.70247936,-121.2122498,-5.95581818,0.78099173,-0.04436712,0.04175729,-0.00507365,0.839454,18.95495033,2.43468761,40.15626907
33,-3.99550009,76,246.776001,42.46697998,24.30082703,141.5316925,-13.07934856,10.56000042,-3.13919997,-139.8750458,-2.85291338,-6.71948624,1.09161401,-0.13098516,0.3854593,0,0.85943276,20.80417061,7.11111116,2.82842708,1.37317812,67,2.33890009,124,38.94568253,23.36914635,147.383667,115.6019058,24.99173546,-2.52892566,10.969697,-0.70247936,-121.2122498,-5.95581818,0.78099173,-0.04436712,0.04175729,-0.00507365,0.839454,18.95495033,2.43468761,40.15626907
51,-3.99550009,76,246.776001,42.46697998,24.30082703,141.5316925,-13.07934856,10.56000042,-3.13919997,-139.8750458,-2.85291338,-6.71948624,1.09161401,-0.13098516,0.3854593,0,0.85943276,20.80417061,7.11111116,2.82842708,1.37317812,49,2.33890009,124,38.94568253,23.36914635,147.383667,115.6019058,24.99173546,-2.52892566,10.969697,-0.70247936,-121.2122498,-5.95581818,0.78099173,-0.04436712,0.04175729,-0.00507365,0.839454,18.95495033,2.43468761,40.15626907
63,-3.99550009,76,246.776001,42.46697998,24.30082703,141.5316925,-13.07934856,10.56000042,-3.13919997,-139.8750458,-2.85291338,-6.71948624,1.09161401,-0.13098516,0.3854593,0,0.85943276,20.80417061,7.11111116,2.82842708,1.37317812,37,2.33890009,124,38.94568253,23.36914635,147.383667,115.6019058,24.99173546,-2.52892566,10.969697,-0.70247936,-121.2122498,-5.95581818,0.78099173,-0.04436712,0.04175729,-0.00507365,0.839454,18.95495033,2.43468761,40.15626907
